RatingReferenceNumber,PremiseID,PremiseName,StarRatingWithGreenPower,StarRatingWithoutGreenPower,PremiseType,StreetNumber,StreetName,Suburb,State,Postcode,Latitude,Longitude,GNAFLGA,StarRating,CertificateValidTo,RatingType,RatingScope
N48021,2446,NULL,2.5 Stars,2.5 Stars,Office,459,Little Collins Street,MELBOURNE,VIC,3000,-37.81655218,144.9595246,MELBOURNE CITY,2.5 Stars,2018-05-04 0:00:00,Energy,Base Building
N48043,2563,NULL,2 Stars,2 Stars,Office,231,George Street,BRISBANE CITY,QLD,4000,-27.47059689,153.0234682,BRISBANE CITY,2 Stars,2018-07-29 0:00:00,Energy,Whole Building
N48044,2565,NULL,0 Star,0 Star,Office,217,George Street,BRISBANE CITY,QLD,4000,-27.47069549,153.0235596,NULL,0 Star,2018-07-05 0:00:00,Energy,Whole Building
N48122,2829,NULL,4.5 Stars,4.5 Stars,Office,121-127,Harrington Street,THE ROCKS,NSW,2000,-33.86214831,151.2067648,COUNCIL OF THE CITY OF SYDNEY,4.5 Stars,2018-03-15 0:00:00,Energy,Base Building
N48133,2436,NULL,3 Stars,3 Stars,Office,66,Clarence Street,SYDNEY,NSW,2000,-33.86699361,151.2052849,COUNCIL OF THE CITY OF SYDNEY,3 Stars,2018-04-12 0:00:00,Energy,Base Building
N48292,2453,NULL,3.5 Stars,3.5 Stars,Office,12,Waterloo Road,MACQUARIE PARK,NSW,2113,-33.78854392,151.1322955,RYDE CITY COUNCIL,3.5 Stars,2018-04-07 0:00:00,Energy,Base Building
N48292,2453,NULL,4 Stars,4 Stars,Office,12,Waterloo Road,MACQUARIE PARK,NSW,2113,-33.78854392,151.1322955,RYDE CITY COUNCIL,4 Stars,2018-04-07 0:00:00,Water,Base Building
N48419,1780,NULL,3 Stars,3 Stars,Office,607,Bourke Street,MELBOURNE,VIC,3000,-37.81667158,144.9554999,MELBOURNE CITY,3 Stars,2018-06-23 0:00:00,Water,Base Building
N48419,1780,NULL,3.5 Stars,3.5 Stars,Office,607,Bourke Street,MELBOURNE,VIC,3000,-37.81667158,144.9554999,MELBOURNE CITY,3.5 Stars,2018-06-23 0:00:00,Energy,Base Building
N48464,2638,NULL,4 Stars,4 Stars,Office,189,Coronation Drive,MILTON,QLD,4064,NULL,NULL,BRISBANE CITY,4 Stars,2018-05-02 0:00:00,Energy,Base Building
N48572,4716,NULL,4.5 Stars,4.5 Stars,Office,235,Ryrie Street,GEELONG,VIC,3220,-38.14975498,144.3632122,GREATER GEELONG CITY,4.5 Stars,2018-08-09 0:00:00,Energy,Base Building
N48572,4716,NULL,4.5 Stars,4.5 Stars,Office,235,Ryrie Street,GEELONG,VIC,3220,-38.14975498,144.3632122,GREATER GEELONG CITY,4.5 Stars,2018-08-09 0:00:00,Water,Base Building
N48576,2625,NULL,0 Star,0 Star,Office,12,Short Street,SOUTHPORT,QLD,4215,-27.97080424,153.4158096,GOLD COAST CITY,0 Star,2018-06-25 0:00:00,Energy,Base Building
N48576,2625,NULL,5 Stars,5 Stars,Office,12,Short Street,SOUTHPORT,QLD,4215,-27.97080424,153.4158096,GOLD COAST CITY,5 Stars,2018-06-25 0:00:00,Water,Base Building
N48585,2734,NULL,4 Stars,4 Stars,Office,130,Pitt Street,SYDNEY,NSW,2000,-33.86854117,151.2086019,COUNCIL OF THE CITY OF SYDNEY,4 Stars,2018-06-20 0:00:00,Water,Base Building
N48585,2734,NULL,5 Stars,5 Stars,Office,130,Pitt Street,SYDNEY,NSW,2000,-33.86854117,151.2086019,COUNCIL OF THE CITY OF SYDNEY,5 Stars,2018-06-20 0:00:00,Energy,Base Building
N48588,1806,NULL,3.5 Stars,3.5 Stars,Office,347,Kent Street,SYDNEY,NSW,2000,-33.86849651,151.2041477,COUNCIL OF THE CITY OF SYDNEY,3.5 Stars,2018-07-21 0:00:00,Water,Base Building
N48588,1806,NULL,4 Stars,4 Stars,Office,347,Kent Street,SYDNEY,NSW,2000,-33.86849651,151.2041477,COUNCIL OF THE CITY OF SYDNEY,4 Stars,2018-07-21 0:00:00,Energy,Base Building
N48686,3103,NULL,2 Stars,2 Stars,Office,48,Miller Street,MURARRIE,QLD,4172,-27.4574207,153.0990547,BRISBANE CITY,2 Stars,2018-06-16 0:00:00,Energy,Whole Building
N48708,3139,NULL,3.5 Stars,3.5 Stars,Office,33,Berry Street,NORTH SYDNEY,NSW,2060,-33.8370432,151.2055775,NORTH SYDNEY COUNCIL,3.5 Stars,2018-07-11 0:00:00,Energy,Base Building
N48725,2482,NULL,3.5 Stars,3.5 Stars,Office,77,Southbank Boulevard,SOUTHBANK,VIC,3006,-37.82311924,144.9668993,MELBOURNE CITY,3.5 Stars,2018-06-06 0:00:00,Energy,Base Building
N48756,2491,NULL,2.5 Stars,2.5 Stars,Office,140,Bundall Road,BUNDALL,QLD,4217,-28.00150938,153.4136744,GOLD COAST CITY,2.5 Stars,2018-06-23 0:00:00,Energy,Whole Building
N48883,1864,NULL,3 Stars,3 Stars,Office,75,Miller Street,NORTH SYDNEY,NSW,2060,-33.8402262,151.2069144,NORTH SYDNEY COUNCIL,3 Stars,2018-08-10 0:00:00,Water,Base Building
N48883,1864,NULL,4 Stars,4 Stars,Office,75,Miller Street,NORTH SYDNEY,NSW,2060,-33.8402262,151.2069144,NORTH SYDNEY COUNCIL,4 Stars,2018-08-10 0:00:00,Energy,Base Building
N48893,1941,NULL,2.5 Stars,2.5 Stars,Office,473,Bourke Street,MELBOURNE,VIC,3000,-37.81544036,144.9598506,MELBOURNE CITY,2.5 Stars,2018-07-03 0:00:00,Energy,Base Building
N48897,2224,NULL,2 Stars,2 Stars,Office,80,Mount Street,NORTH SYDNEY,NSW,2060,-33.83876753,151.208027,NORTH SYDNEY COUNCIL,2 Stars,2018-06-30 0:00:00,Energy,Base Building
N48960,2256,NULL,4 Stars,4 Stars,Office,601,Coronation Drive,TOOWONG,QLD,4066,-27.48381153,152.9944628,BRISBANE CITY,4 Stars,2018-08-08 0:00:00,Energy,Base Building
N48968,2425,NULL,2.5 Stars,2.5 Stars,Office,256,St Georges Terrace,PERTH,WA,6000,-31.95205,115.85009,CITY OF PERTH,2.5 Stars,2018-07-07 0:00:00,Energy,Base Building
N48968,2425,NULL,3 Stars,3 Stars,Office,256,St Georges Terrace,PERTH,WA,6000,-31.95205,115.85009,CITY OF PERTH,3 Stars,2018-07-07 0:00:00,Water,Base Building
N48994,2737,NULL,3.5 Stars,3.5 Stars,Office,35-37,Chandos Street,ST LEONARDS,NSW,2065,-33.82228771,151.1966295,NORTH SYDNEY COUNCIL,3.5 Stars,2018-07-06 0:00:00,Energy,Base Building
N49051,1661,NULL,3.5 Stars,3.5 Stars,Office,1,Pacific Highway,NORTH SYDNEY,NSW,2060,-33.84086745,151.2093938,NORTH SYDNEY COUNCIL,3.5 Stars,2018-07-20 0:00:00,Water,Base Building
