PremiseID,PremisesName,AltPremisesName,Customer,PremiseType,StreetNumber,StreetName,Suburb,State,Postcode,Latitude,Longitude,RatingReferenceNumber,RatingType,RatingScope,CertificateValidTo,EnergyStarRatingValue,EnergyGPStarRatingValueNoGP,EnergyGreenPowerPercent,EnergyGreenPower,WasteStarRatingValue,IEQStarRatingValue,GHGEmissionsScope123,GHGEmissionsScope123NoGP,GHGEmissionsScope123PerM2,GHGEmissionsScope123PerM2NoGP,EnergyIntensityByM2,EnergyIntensityByRoom,GHGEmissionsScope123PerRoom,GHGEmissionsScope123PerRoomNoGP,TotalEnergyUse,CarbonNeutral,CarbonNeutralExpiryDate,AAAStarRatingValue,DataCentre_PUE,HospitalPeerGroup,WaterStarRatingValue,WaterStarRatingValueNoRW,WaterRecycledPercent,WaterRecycled,WaterConsumption,WaterConsumptionWoRW,WaterConsumptionPerRoom,WaterConsumptionPerRoomNoRW,WaterIntensity,WaterIntensityNoRW,ThermalComfortScore,AirQualityScore,AcousticComfortScore,LightingScore,OfficeLayoutScore,RecycleRate,WasteIntensity
2,Cathedral Square,Cathedral Square,LEADER AUTAINVEST II PTY LIMITED,Office,410,Ann Street,BRISBANE CITY,QLD,4000,-27.46349482,153.0289912,N48844,Energy,Base Building,2018-07-28 0:00:00,5,5,0,NO,NULL,NULL,1070358,1070358,77.85667525,77.85667525,307,NULL,NULL,NULL,4223627.84,NO,2018-07-28 0:00:00,NULL,TBA,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
2,Cathedral Square,Cathedral Square,LEADER AUTAINVEST II PTY LIMITED,Office,410,Ann Street,BRISBANE CITY,QLD,4000,-27.46349482,153.0289912,N48844,Water,Base Building,2018-07-28 0:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018-07-28 0:00:00,NULL,TBA,TBA,2.5,2.5,0,NO,19647.8,19647.8,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
4,State Law Building,State Law Building,PEP Nominees III Pty Ltd ATF 50 Ann PEP Trust,Office,50,Ann Street,BRISBANE CITY,QLD,4000,-27.4690557,153.0221094,N49671,Energy,Base Building,2018-10-12 0:00:00,4.5,4.5,0,NO,NULL,NULL,2486362,2486362,97.95768655,97.95768655,418,NULL,NULL,NULL,10623762.84,NO,2018-10-12 0:00:00,NULL,TBA,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
5,,NAB House,AMP CAPITAL INVESTORS LIMITED,Office,255,George Street,SYDNEY,NSW,2000,-33.86388507,151.2070513,N48096,Energy,Base Building,2018-04-20 0:00:00,5,5,0,NO,NULL,NULL,3022144,3022144,78.58011305,78.58011305,305,NULL,NULL,NULL,11764814.68,NO,2018-04-20 0:00:00,NULL,TBA,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
5,,NAB House,Eureka Funds Management,Office,255,George Street,SYDNEY,NSW,2000,-33.86388507,151.2070513,N48632,Energy,Tenancy,2018-05-26 0:00:00,5,5,0,NO,NULL,NULL,29481,29481,42.99402071,42.99402071,156,NULL,NULL,NULL,107203.68,NO,2018-05-26 0:00:00,NULL,TBA,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
5,,NAB House,AMP CAPITAL INVESTORS LIMITED,Office,255,George Street,SYDNEY,NSW,2000,-33.86388507,151.2070513,N48096,Water,Base Building,2018-04-20 0:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018-04-20 0:00:00,NULL,TBA,TBA,3.5,3.5,0,NO,27157.3,27157.3,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
10,Australia Square Tower,Australia Square Tower,DEXUS Property Services Pty Limited,Office,"Australia Square Tower, 264-278",George Street,SYDNEY,NSW,2000,-33.86494844,151.2079552,N51161,Energy,Base Building,2019-03-21 0:00:00,5,4.5,3,YES,NULL,NULL,3160998,3253496,78.55733745,80.85610404,355,NULL,NULL,NULL,14313074.12,NO,2019-03-21 0:00:00,NULL,TBA,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
10,Australia Square Tower,Australia Square Tower,DEXUS Property Services Pty Limited,Office,"Australia Square Tower, 264-278",George Street,SYDNEY,NSW,2000,-33.86494844,151.2079552,N51161,Water,Base Building,2019-03-21 0:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019-03-21 0:00:00,NULL,TBA,TBA,3.5,3.5,0,NO,28349.2,28349.2,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
11,45-53 Clarence Street SYDNEY NSW 2000,NULL,DEXUS Funds Management Limited as responsible entity for the DEXUS Office Trust,Office,45-53,Clarence Street,SYDNEY,NSW,2000,-33.86464526,151.2043888,N49493,Energy,Base Building,2018-10-28 0:00:00,5.5,5,19.5,YES,NULL,NULL,1773086,2185538,60.14395859,74.13453548,297,NULL,NULL,NULL,8774574.06,NO,2018-10-28 0:00:00,NULL,TBA,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
11,45-53 Clarence Street SYDNEY NSW 2000,NULL,DEXUS Funds Management Limited as responsible entity for the DEXUS Office Trust,Office,45-53,Clarence Street,SYDNEY,NSW,2000,-33.86464526,151.2043888,N49493,Water,Base Building,2018-10-28 0:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018-10-28 0:00:00,NULL,TBA,TBA,4,4,0,NO,19382.5,19382.5,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
20,Education Building,Education Building,Property NSW,Office,35-39,Bridge Street,SYDNEY,NSW,2000,-33.86385283,151.2106686,N48446,Energy,Whole Building,2018-06-05 0:00:00,4.5,4.5,6,YES,NULL,NULL,1949945,2067177,156.3821767,165.783978,711,NULL,NULL,NULL,8871789.88,NO,2018-06-05 0:00:00,NULL,TBA,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
20,Education Building,Education Building,Property NSW,Office,35-39,Bridge Street,SYDNEY,NSW,2000,-33.86385283,151.2106686,N48446,Water,Whole Building,2018-06-05 0:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018-06-05 0:00:00,NULL,TBA,TBA,3.5,3.5,0,NO,8942.1,8942.1,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
23,Bligh House,Bligh House,One Investment Management Pty Limited,Office,4-6,Bligh Street,SYDNEY,NSW,2000,-33.86574935,151.2105186,N48496,Energy,Whole Building,2018-05-15 0:00:00,4.5,4.5,6,YES,NULL,NULL,1608454,1702037,171.5354919,181.5157623,841,NULL,NULL,NULL,7890554.32,NO,2018-05-15 0:00:00,NULL,TBA,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
23,Bligh House,Bligh House,One Investment Management Pty Limited,Office,4-6,Bligh Street,SYDNEY,NSW,2000,-33.86574935,151.2105186,N48496,Water,Whole Building,2018-05-15 0:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018-05-15 0:00:00,NULL,TBA,TBA,2.5,2.5,0,NO,9526,9526,TBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TBA,TBA
